text,CH,MV,material,PRIX,PPV,PPCP,PMCP,PPCT,PMCT,PPMF,TPCP,TPCT
PLA,1,1.255,PLA,32.50,4.25,0.00,0.00,58.84,0.00,74.77,0.00,67.80
Nylon,1,1.15,Nylon,22.50,12.15,87.96,52.05,12.55,6.96,43.74,61.08,114.00
